"","uniprot","lower","upper"
"1","O00300",6.98885313916667,9.94054400666667
"2","O14625",7.83631259833333,13.7241554133333
"3","O14788",1.73735799166667,5.69096700666667
"4","O15169",2.626606805,7.402053
"5","O15444",5.14760153666667,8.15903349166667
"6","O43508",8.72054003666667,10.8294209516667
"7","O43557",4.61101021666667,8.19367150666667
"8","O95630",5.44666591666667,10.3538451166667
"9","O95750",6.32835438666667,12.2943615041667
"10","O95760",0.976398961666667,2.49301557166667
"11","P00749",7.03043040166667,9.18128358166667
"12","P00813",5.45217172666667,8.87812329166667
"13","P01135",3.78768231666667,8.08556674666667
"14","P01137",7.473656055,9.55628626
"15","P01138",2.11574041916667,3.16238204666667
"16","P01374",2.82582941333333,6.55904874333333
"17","P01375",3.409915275,10.06548931
"18","P01579",4.25825988333333,14.9693164783333
"19","P01583",-1.57286653333333,0.667771361666667
"20","P01732",9.73495266666667,13.0619172066667
"21","P02778",9.30602830666667,14.1036366266667
"22","P03956",9.51657136,14.54426737
"23","P05112",0.367436226666667,3.19897032666667
"24","P05113",1.01046258666667,4.69272087916667
"25","P05231",5.07563995666667,13.9758109416667
"26","P06127",4.69341211833333,7.66751775833333
"27","P09238",8.0951376925,11.740563205
"28","P09341",8.73096424166667,13.0652366266667
"29","P09603",10.5684720466667,11.4265113866667
"30","P10145",5.88362023416667,13.5570498416667
"31","P10147",5.88716643833333,12.1092541458333
"32","P12034",1.31080367333333,2.79948493333333
"33","P13232",2.9468558525,6.02323132
"34","P13236",6.01006873833333,11.9420408383333
"35","P13500",7.81669739083333,11.9645573558333
"36","P13725",4.74886923416667,10.4743129966667
"37","P14210",9.05499773666667,13.0088768966667
"38","P14784",1.64976232333333,3.30041268333333
"39","P15018",0.609554086666667,7.93813849666667
"40","P15692",11.0396906716667,13.6129214366667
"41","P20783",1.31417434,4.074032575
"42","P21583",7.05731619416667,10.5902045716667
"43","P22301",4.50674229333333,14.6838354183333
"44","P25942",11.6761344266667,14.8191262466667
"45","P28325",4.58850022333333,8.08674354333333
"46","P29460",3.96949072333333,9.21670358333333
"47","P30203",4.04849508,7.433638235
"48","P35225",0.383827713333333,3.31551792333333
"49","P39905",1.961242285,4.91363888
"50","P42702",4.106994185,5.97780713
"51","P42830",7.66202339,13.58445585
"52","P49771",7.86022396833333,11.8867332733333
"53","P50225",2.1451372,5.6893421975
"54","P50591",6.46759426833333,9.75654485833333
"55","P51671",6.418541335,8.94934789
"56","P55773",10.1924974433333,12.7837572833333
"57","P60568",0.628936423333333,1.93527612333333
"58","P78423",5.320548335,8.923278385
"59","P78556",6.87572696,12.97512608
"60","P80075",8.27212924166666,14.2416750766667
"61","P80098",2.02312194083333,7.33066739333333
"62","P80162",8.08992748166667,11.5182509716667
"63","P80511",2.1614486275,6.76857069
"64","Q07011",6.05296337,11.01299324
"65","Q07325",6.82859398666667,12.0055245466667
"66","Q08334",5.73477836,7.66500133
"67","Q13007",1.40363047333333,6.25081682333333
"68","Q13261",1.59808110166667,4.28581354666667
"69","Q13291",1.49255297583333,3.85767765083333
"70","Q13478",8.49644383333333,11.3322127433333
"71","Q13541",8.89295162083333,12.4735078983333
"72","Q13651",1.16019135,3.65174295
"73","Q14116",8.28982889333333,11.6845009133333
"74","Q14790",2.20392814416667,6.44431192166667
"75","Q16552",1.53830141,7.7513361775
"76","Q5T4W7",0.915655943333333,3.31086259333333
"77","Q8IXJ6",4.14432431666667,9.86514039666667
"78","Q8N6P7",1.72506683,4.54913614
"79","Q8NFT8",8.35278987333333,9.84118203583333
"80","Q969D9",0.73068833,3.26946013
"81","Q99616",12.4126216958333,16.7280636383333
"82","Q99731",9.06442018833333,12.8824062633333
"83","Q99748",0.871654441666667,2.36156464666667
"84","Q9BZW8",6.40850560833333,8.80954779583333
"85","Q9GZV9",2.64474322416667,10.7176916116667
"86","Q9H5V8",3.49700408,6.70088037
"87","Q9NRJ3",2.24668412833333,4.47238010833333
"88","Q9NSA1",5.77069232,13.22897114
"89","Q9NYY1",0.7458973,3.5646324875
"90","Q9NZQ7",6.8302935,10.23014889
"91","Q9P0M4",1.634336625,6.072803965
"92","Q9UHF4",1.31967104,2.82186772
